,UNIT_NAME,STAT_NAME,ITEM_CODE1,STAT_CODE,ITEM_CODE2,ITEM_CODE3,ITEM_NAME1,ITEM_NAME2,DATA_VALUE,ITEM_NAME3,TIME
151,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201708
152,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201709
153,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201710
154,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201711
155,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201712
156,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201801
157,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201802
158,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201803
159,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201804
160,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201805
161,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201806
162,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201807
163,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201808
164,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201809
165,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201810
166,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201811
167,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201812
168,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201901
169,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201902
170,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201903
171,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201904
172,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201905
173,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201906
174,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201907
175,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201908
176,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201909
177,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201910
178,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201911
179,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201912
180,연%,2.6.한국은행 기준금리 및 여수신금리,0110000,098Y001, , ,신용대출지원 프로그램대출금리, ,1, ,201501
181,연%,2.6.한국은행 기준금리 및 여수신금리,0110000,098Y001, , ,신용대출지원 프로그램대출금리, ,1, ,201502
182,연%,2.6.한국은행 기준금리 및 여수신금리,0110000,098Y001, , ,신용대출지원 프로그램대출금리, ,1, ,201503
183,연%,2.6.한국은행 기준금리 및 여수신금리,0110000,098Y001, , ,신용대출지원 프로그램대출금리, ,0.75, ,201504
184,연%,2.6.한국은행 기준금리 및 여수신금리,0110000,098Y001, , ,신용대출지원 프로그램대출금리, ,0.75, ,201505
185,연%,2.6.한국은행 기준금리 및 여수신금리,0110000,098Y001, , ,신용대출지원 프로그램대출금리, ,0.75, ,201506
186,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201501
187,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201502
188,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201503
189,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201504
190,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201505
191,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201506
192,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201507
193,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201508
194,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201509
195,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201510
196,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201511
197,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201512
198,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201601
199,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201602
200,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201603
201,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201604
202,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201605
203,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201606
204,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201607
205,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201608
206,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201609
207,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201610
208,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201611
209,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201612
210,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201701
211,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201702
212,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201703
213,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201704
214,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201705
215,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201706
216,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201707
217,연%,2.6.한국은행 기준금리 및 여수신금리,0111000,098Y001, , ,영세자영업자지원 프로그램대출금리, ,0.5, ,201708
